run, pmt_bottom_voltage [V], pmt_top_voltage [V], Notes
579, -520, -590, reci off/getter off
580, -520, -590, reci off/getter off
581, -520, -590, reci off/getter off
582, -520, -590, reci off/getter off
583, -520, -590, reci off/getter off
584, -520, -590, reci off/getter off
585, -520, -590, reci off/getter off
586, -520, -590, reci off/getter off
587, -520, -590, reci off/getter off
588, -520, -590, reci off/getter off
590, -520, -590, reci off/getter off
591, -520, -590, reci off/getter off
592, -520, -590, reci on/getter off
593, -520, -590, reci on/getter off
594, -520, -590, reci on/getter on
595, -520, -590, reci on/getter on
596, -520, -590, reci on/getter on
597, -520, -590, reci on/getter on
598, -520, -590, reci on/getter on
599, -520, -590, reci on/getter on
600, -600, -600, reci on/getter on
601, -600, -600, reci on/getter on
602, -720, -720, reci on/getter on
603, -600, -600, reci on/getter on
604, -680, -680, reci on/getter on
605, -780, -780, reci on/getter on
606, -620, -720, reci on/getter on
607, -620, -720, reci on/getter on
608, -620, -720, reci on/getter on
609, -620, -720, reci on/getter on
610, -620, -720, reci on/getter on
611, -620, -720, reci on/getter on
612, -620, -720, reci on/getter on
613, -610, -680, reci on/getter on
614, -610, -680, reci on/getter on
615, -610, -680, reci on/getter on
616, -610, -680, reci on/getter on
617, -680, -680, reci on/getter on
618, -680, -680, reci on/getter on
620, -680, -680, reci on/getter on
621, -680, -680, reci on/getter on
622, -680, -750, reci on/getter on
623, -680, -780, reci on/getter on
624, -680, -800, reci on/getter on
625, -680, -800, reci on/getter on
626, -670, -790, reci on/getter on
627, -680, -780, reci on/getter on
